Brunt-Väisälä frequency (N), vertical shear of zonal wind (dUdz), and Richardson number (Ri) 
Latitude is planetocentric and pressure unit is mbar
N unit is 1e-3 1/s, dUdz unit is 1e-3 1/s, and Ri is unitless 
Data in each pressure level with varying latitude is saved 

Pressure level 508.1449 mbar
pressure latitude       N       dUdz       Ri
  338.47  -87.00      9.418    -0.035   638.429
  338.47  -86.00      9.434    -0.033   640.526
  338.47  -85.00      9.444    -0.036   641.878
  338.47  -84.00      9.450    -0.034   642.718
  338.47  -83.00      9.452    -0.037   642.958
  338.47  -82.00      9.443    -0.035   641.729
  338.47  -81.00      9.421    -0.031   638.735
  338.47  -80.00      9.393    -0.022   634.950
  338.47  -79.00      9.377    -0.011   632.855
  338.47  -78.00      9.382     0.007   633.474
  338.47  -77.00      9.384     0.024   633.792
  338.47  -76.00      9.393     0.040   634.993
  338.47  -75.00      9.404     0.052   636.496
  338.47  -74.00      9.428     0.048   639.748
  338.47  -73.00      9.442     0.028   641.622
  338.47  -72.00      9.444     0.020   641.910
  338.47  -71.00      9.429     0.024   639.854
  338.47  -70.00      9.391     0.034   634.734
  338.47  -69.00      9.347     0.043   628.795
  338.47  -68.00      9.314     0.042   624.387
  338.47  -67.00      9.302     0.030   622.761
  338.47  -66.00      9.312     0.015   624.077
  338.47  -65.00      9.330     0.002   626.537
  338.47  -64.00      9.348    -0.002   628.919
  338.47  -63.00      9.360     0.008   630.509
  338.47  -62.00      9.360     0.025   630.473
  338.47  -61.00      9.348     0.036   628.897
  338.47  -60.00      9.343     0.038   628.210
  338.47  -59.00      9.331     0.037   626.567
  338.47  -58.00      9.310     0.029   623.847
  338.47  -57.00      9.266     0.018   617.979
  338.47  -56.00      9.194     0.009   608.325
  338.47  -55.00      9.096     0.015   595.513
  338.47  -54.00      8.991     0.035   581.851
  338.47  -53.00      8.900     0.060   570.045
